RHO,SIGMA SQUARED
0.95,9.99999e-07
0.952,0.119685
0.954,0.257642
0.956,0.283711
0.958,0.281407
0.96,0.30198
0.962,0.325874
0.964,0.352479
0.966,0.353056
0.968,0.354049
0.97,0.379473
0.972,0.41158
0.982,0.429407
0.992,0.457995
1.002,0.528844
1.004,0.530972
1.006,0.536921
1.008,0.528626
1.01,0.558374
1.012,0.540556
1.014,0.578723
1.016,0.573882
1.018,0.595309
1.02,0.57765
1.022,0.610005
1.024,0.615283
1.026,0.653594
1.028,0.605104
1.03,0.588325
1.032,0.6234
1.034,0.641882
1.036,0.62031
1.038,0.637195
1.04,0.658429
1.042,0.648992
1.044,0.649624
1.046,0.64969
1.048,0.685015
1.05,0.698969
1.052,0.724474
1.054,0.691555
1.056,0.69211
1.058,0.692499
1.06,0.708305
1.062,0.722413
1.064,0.683609
1.066,0.744516
1.068,0.756648
1.07,0.734109
1.072,0.759814
1.074,0.73959
1.076,0.790985
1.078,0.747185
1.08,0.781321
1.082,0.825323
1.084,0.797309
1.086,0.824599
1.088,0.807746
1.09,0.782141
1.092,0.768269
1.094,0.847248
1.096,0.843679
1.098,0.86765
1.1,0.872077
1.102,0.87254
1.112,0.87159
1.122,0.926493
1.132,0.919301
1.142,0.939768
1.152,0.995723
1.162,0.991036
1.172,1.03328
1.182,1.09059
1.192,1.13586
1.202,1.10762
